File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
B08,FAM,Unkn-18,18,NaN,NaN,0,0,0,
B09,FAM,Unkn-18,18,NaN,NaN,0,0,0,
B10,FAM,Unkn-26,26,27.50590833,643158.7343,27.51761967,0.016562341,7324.365235,
B11,FAM,Unkn-26,26,27.52933101,632800.5177,27.51761967,0.016562341,7324.365235,
B12,FAM,NTC-02,2,NaN,NaN,0,0,0,
C01,FAM,Std-03,3,37.42406363,1000,37.4183252,0.17918956,0,
C02,FAM,Std-03,3,37.23633536,1000,37.4183252,0.17918956,0,
C03,FAM,Std-03,3,37.59457662,1000,37.4183252,0.17918956,0,
C04,FAM,Unkn-03,3,NaN,NaN,0,0,0,
C05,FAM,Unkn-03,3,NaN,NaN,0,0,0,
C06,FAM,Unkn-11,11,NaN,NaN,0,0,0,
C07,FAM,Unkn-11,11,NaN,NaN,0,0,0,
C08,FAM,Unkn-19,19,33.43987496,10517.46706,33.82820602,0.549183047,3096.031917,
C09,FAM,Unkn-19,19,34.21653707,6139.016733,33.82820602,0.549183047,3096.031917,
C10,FAM,Unkn-27,27,NaN,NaN,0,0,0,
C11,FAM,Unkn-27,27,NaN,NaN,0,0,0,
C12,FAM,NTC-03,3,NaN,NaN,0,0,0,
D01,FAM,Std-04,4,36.46735139,10000,35.68240146,0.991559636,0,
D02,FAM,Std-04,4,34.56806729,10000,35.68240146,0.991559636,0,
D03,FAM,Std-04,4,36.01178572,10000,35.68240146,0.991559636,0,
D04,FAM,Unkn-04,4,35.75614364,2111.561822,36.07146509,0.44593187,528.7485194,
