Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_06,50.4,ng/uL,1.26,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,321,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_07,39.8,ng/uL,0.995,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,254,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_08,10.4,ng/uL,0.259,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,77.4,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_09,30.5,ng/uL,0.763,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,231,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_10,60.4,ng/uL,1.51,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,444,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_11,41.2,ng/uL,1.03,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,282,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_12,52.8,ng/uL,1.32,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,363,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_13,36.7,ng/uL,0.917,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,265,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_14,11.2,ng/uL,0.281,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,85.2,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_15,27.2,ng/uL,0.679,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,180,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:01 PM,dsDNA BR,0925GOLD_16,38.8,ng/uL,0.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,244,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_17,73.6,ng/uL,1.84,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,509,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_18,87.6,ng/uL,2.19,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,617,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_19,58.4,ng/uL,1.46,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,389,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_20,21.4,ng/uL,0.536,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,161,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_21,11.4,ng/uL,0.286,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,95.8,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_22,41.6,ng/uL,1.04,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,268,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_23,34.9,ng/uL,0.872,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,226,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:20 PM,dsDNA BR,0925GOLD_24,74,ng/uL,1.85,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,435,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_25,56.4,ng/uL,1.41,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,402,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_26,57.6,ng/uL,1.44,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,425,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_27,16.2,ng/uL,0.404,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,123,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_28,12.4,ng/uL,0.311,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,101,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_29,1.47,ng/uL,0.0368,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,26.3,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,0925GOLD_30,5.8,ng/uL,0.145,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,50.9,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,blank,0.152,ng/uL,0.00379,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,15.1,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:39:35 PM,dsDNA BR,blank2,0.175,ng/uL,0.00437,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,15.3,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
