Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_23,128,ng/uL,3.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,672,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_24,42,ng/uL,1.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,239,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_25,35.3,ng/uL,0.883,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,236,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_26,282,ng/uL,7.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,1490,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_27,33.8,ng/uL,0.846,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,226,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_28,79.6,ng/uL,1.99,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,484,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_29,33.5,ng/uL,0.838,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,223,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_30,45.2,ng/uL,1.13,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,258,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_DNAblank,0.0532,ng/uL,0.00133,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,13.8,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:58:17 PM,dsDNA BR,0626ASHC_blank,0.0772,ng/uL,0.00193,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,13.8,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
