"Date","Sample_ID","Concentration","Units"
"11/8/2025 17:26","0125FENC_18",39,"ng/uL"
"11/8/2025 17:26","0125FENC_19",45.2,"ng/uL"
"11/8/2025 17:26","0125FENC_20",79.6,"ng/uL"
"11/8/2025 17:26","0125FENC_21",73.6,"ng/uL"
"11/8/2025 17:26","0125FENC_22",53.2,"ng/uL"
"11/8/2025 17:26","0125FENC_23",64.8,"ng/uL"
"11/8/2025 17:26","0125FENC_24",36.6,"ng/uL"
"11/8/2025 17:27","0125FENC_25",61.2,"ng/uL"
"11/8/2025 17:27","0125FENC_26",99.2,"ng/uL"
"11/8/2025 17:27","0125FENC_27",35.5,"ng/uL"
"11/8/2025 17:27","0125FENC_28",55.6,"ng/uL"
"11/8/2025 17:27","0125FENC_29",62.4,"ng/uL"
"11/8/2025 17:27","0125FENC_30",71.6,"ng/uL"
"11/8/2025 17:15","0125FENC_01",44.8,"ng/uL"
"11/8/2025 17:15","0125FENC_02",88,"ng/uL"
"11/8/2025 17:15","0125FENC_03",60,"ng/uL"
"11/8/2025 17:15","0125FENC_04",46.4,"ng/uL"
"11/8/2025 17:15","0125FENC_05",58.4,"ng/uL"
"11/8/2025 17:15","0125FENC_06",47.2,"ng/uL"
"11/8/2025 17:15","0125FENC_07",48.8,"ng/uL"
"11/8/2025 17:15","0125FENC_08",36.6,"ng/uL"
"11/8/2025 17:16","0125FENC_09",50.4,"ng/uL"
"11/8/2025 17:16","0125FENC_10",52.8,"ng/uL"
"11/8/2025 17:16","0125FENC_11",93.2,"ng/uL"
"11/8/2025 17:16","0125FENC_12",48.4,"ng/uL"
"11/8/2025 17:16","0125FENC_13",47.6,"ng/uL"
"11/8/2025 17:16","0125FENC_14",52.4,"ng/uL"
"11/8/2025 17:16","0125FENC_15",32.3,"ng/uL"
"11/8/2025 17:16","0125FENC_16",59.2,"ng/uL"
"11/8/2025 17:19","0125FENC_17",94.4,"ng/uL"
"11/8/2025 17:19","0125FENC_18",37,"ng/uL"
"11/8/2025 17:19","0125FENC_19",41.2,"ng/uL"
"11/8/2025 17:19","0125FENC_20",78,"ng/uL"
"11/8/2025 17:19","0125FENC_21",75.2,"ng/uL"
"11/8/2025 17:19","0125FENC_22",49.2,"ng/uL"
"11/8/2025 17:19","0125FENC_23",60.4,"ng/uL"
"11/8/2025 17:19","0125FENC_24",38.1,"ng/uL"
"11/8/2025 17:20","0125FENC_25",58.8,"ng/uL"
"11/8/2025 17:20","0125FENC_26",102,"ng/uL"
"11/8/2025 17:20","0125FENC_27",38.7,"ng/uL"
"11/8/2025 17:20","0125FENC_28",58.4,"ng/uL"
"11/8/2025 17:20","0125FENC_29",85.6,"ng/uL"
"11/8/2025 17:20","0125FENC_30",72.8,"ng/uL"
"11/8/2025 17:20","0125FENC_BLANK",0.202,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_01",23.8,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_02",75.2,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_03",46,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_04",59.2,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_05",38.6,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_06",42,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_07",48.4,"ng/uL"
"20/08/2025 04:53:08 PM","0225ASHC_08",42,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_09",81.6,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_10",59.6,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_11",44.8,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_12",56.4,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_13",50,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_14",52,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_15",37.8,"ng/uL"
"20/08/2025 04:54:09 PM","0225ASHC_16",53.6,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_17",49.2,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_18",49.2,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_19",42.4,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_20",58,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_21",45.6,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_22",82.4,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_23",71.6,"ng/uL"
"20/08/2025 04:55:47 PM","0225ASHC_24",28.2,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_25",43.2,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_26",48.8,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_27",48.8,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_28",60,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_29",42.8,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_30",59.2,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_blank",0.367,"ng/uL"
"20/08/2025 04:56:44 PM","0225ASHC_blank",0.303,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_01",21.6,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_02",68.4,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_03",40,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_04",52.8,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_05",33.9,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_06",37.7,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_07",44.4,"ng/uL"
"20/08/2025 04:46:43 PM","0225ASHC_08",36.4,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_09",80.4,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_10",62.8,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_11",37.8,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_12",50.4,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_13",45.6,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_14",46,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_15",36.3,"ng/uL"
"20/08/2025 04:48:06 PM","0225ASHC_16",50.4,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_17",46.8,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_18",50.8,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_19",37.5,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_20",54,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_21",46.8,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_22",92.8,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_23",74.4,"ng/uL"
"20/08/2025 04:49:55 PM","0225ASHC_24",27.5,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_25",42.8,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_26",46,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_27",46,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_28",59.6,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_29",42,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_30",55.6,"ng/uL"
"20/08/2025 04:51:15 PM","0225ASHC_blank",0.303,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_01",46,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_02",64,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_03",54,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_04",37.7,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_05",70,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_06",57.2,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_07",50.4,"ng/uL"
"20/08/2025 05:29:18 PM","0225FENC_08",46.4,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_09",53.6,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_10",66.4,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_11",40.4,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_12",64.8,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_13",66.8,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_14",44.4,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_15",74.4,"ng/uL"
"20/08/2025 05:30:35 PM","0225FENC_16",52,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_17",85.2,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_18",53.6,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_19",69.2,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_20",64.4,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_21",47.6,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_22",68,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_23",47.2,"ng/uL"
"20/08/2025 05:32:14 PM","0225FENC_24",90.4,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_25",66.4,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_26",108,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_27",62,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_28",78.4,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_29",64,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_30",59.6,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_BLANK",0.612,"ng/uL"
"20/08/2025 05:33:07 PM","0225FENC_BLANK",0.472,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_01",44.8,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_02",52.4,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_03",51.2,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_04",39.5,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_05",72.8,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_06",59.2,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_07",48,"ng/uL"
"20/08/2025 05:21:43 PM","0225FENC_08",43.6,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_09",53.6,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_10",68.4,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_11",39.8,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_12",67.6,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_13",74.8,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_14",42.8,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_15",73.6,"ng/uL"
"20/08/2025 05:23:01 PM","0225FENC_16",46.8,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_17",75.6,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_18",45.6,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_19",54.8,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_20",58,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_21",46,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_22",58.4,"ng/uL"
"20/08/2025 05:25:02 PM","0225FENC_23",41.2,"ng/uL"
"20/08/2025 05:44:20 PM","0225FENC_24",96.4,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_25",62,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_26",103,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_27",60,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_28",72.4,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_29",56.4,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_30",47.2,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_BLANK",0.476,"ng/uL"
"20/08/2025 05:26:03 PM","0225FENC_BLANK",0.484,"ng/uL"
"9/4/2025 16:06","0324ASHC_01",57.6,"ng/uL"
"9/4/2025 16:06","0324ASHC_02",66.4,"ng/uL"
"9/4/2025 16:06","0324ASHC_03",32.9,"ng/uL"
"9/4/2025 16:06","0324ASHC_04",50.4,"ng/uL"
"9/4/2025 16:06","0324ASHC_05",53.2,"ng/uL"
"9/4/2025 16:06","0324ASHC_06",39.9,"ng/uL"
"9/4/2025 16:06","0324ASHC_07",87.6,"ng/uL"
"9/4/2025 16:06","0324ASHC_08",34,"ng/uL"
"9/4/2025 16:06","0324ASHC_09",46.4,"ng/uL"
"9/4/2025 16:06","0324ASHC_10",101,"ng/uL"
"9/4/2025 16:06","0324ASHC_11",22.7,"ng/uL"
"9/4/2025 16:06","0324ASHC_12",73.2,"ng/uL"
"9/4/2025 16:06","0324ASHC_13",32,"ng/uL"
"9/4/2025 16:06","0324ASHC_14",42.4,"ng/uL"
"9/4/2025 16:06","0324ASHC_15",58,"ng/uL"
"9/4/2025 16:06","0324ASHC_16",28.7,"ng/uL"
"9/4/2025 16:08","0324ASHC_17",31.9,"ng/uL"
"9/4/2025 16:08","0324ASHC_18",56,"ng/uL"
"9/4/2025 16:08","0324ASHC_19",77.2,"ng/uL"
"9/4/2025 16:08","0324ASHC_20",35.4,"ng/uL"
"9/4/2025 16:08","0324ASHC_21",37.3,"ng/uL"
"9/4/2025 16:08","0324ASHC_22",42,"ng/uL"
"9/4/2025 16:08","0324ASHC_23",50,"ng/uL"
"9/4/2025 16:08","0324ASHC_24",14.8,"ng/uL"
"9/4/2025 16:09","0324ASHC_25",23,"ng/uL"
"9/4/2025 16:09","0324ASHC_26",58.8,"ng/uL"
"9/4/2025 16:09","0324ASHC_27",62,"ng/uL"
"9/4/2025 16:09","0324ASHC_28",132,"ng/uL"
"9/4/2025 16:09","0324ASHC_29",52,"ng/uL"
"9/4/2025 16:09","0324ASHC_30",123,"ng/uL"
"9/4/2025 16:00","0324ASHC_01",54.8,"ng/uL"
"9/4/2025 16:00","0324ASHC_02",64.8,"ng/uL"
"9/4/2025 16:00","0324ASHC_03",32.4,"ng/uL"
"9/4/2025 16:00","0324ASHC_04",49.6,"ng/uL"
"9/4/2025 16:00","0324ASHC_05",53.2,"ng/uL"
"9/4/2025 16:00","0324ASHC_06",39.1,"ng/uL"
"9/4/2025 16:00","0324ASHC_07",82.8,"ng/uL"
"9/4/2025 16:00","0324ASHC_08",30.6,"ng/uL"
"9/4/2025 16:02","0324ASHC_09",43.2,"ng/uL"
"9/4/2025 16:02","0324ASHC_10",98.8,"ng/uL"
"9/4/2025 16:02","0324ASHC_11",22.2,"ng/uL"
"9/4/2025 16:02","0324ASHC_12",72,"ng/uL"
"9/4/2025 16:02","0324ASHC_13",32.3,"ng/uL"
"9/4/2025 16:02","0324ASHC_14",45.6,"ng/uL"
"9/4/2025 16:02","0324ASHC_15",58.4,"ng/uL"
"9/4/2025 16:02","0324ASHC_16",26.2,"ng/uL"
"9/4/2025 16:03","0324ASHC_17",36.9,"ng/uL"
"9/4/2025 16:03","0324ASHC_18",59.6,"ng/uL"
"9/4/2025 16:03","0324ASHC_19",89.2,"ng/uL"
"9/4/2025 16:03","0324ASHC_20",41.6,"ng/uL"
"9/4/2025 16:03","0324ASHC_21",45.6,"ng/uL"
"9/4/2025 16:03","0324ASHC_22",48.4,"ng/uL"
"9/4/2025 16:03","0324ASHC_23",57.2,"ng/uL"
"9/4/2025 16:03","0324ASHC_24",17,"ng/uL"
"9/4/2025 16:04","0324ASHC_25",28.5,"ng/uL"
"9/4/2025 16:04","0324ASHC_26",66.8,"ng/uL"
"9/4/2025 16:04","0324ASHC_27",65.6,"ng/uL"
"9/4/2025 16:04","0324ASHC_28",138,"ng/uL"
"9/4/2025 16:04","0324ASHC_29",55.6,"ng/uL"
"9/4/2025 16:04","0324ASHC_30",134,"ng/uL"
"9/4/2025 15:16","0324FENC_01",25.8,"ng/uL"
"9/4/2025 15:16","0324FENC_02",36.2,"ng/uL"
"9/4/2025 15:16","0324FENC_03",18.1,"ng/uL"
"9/4/2025 15:16","0324FENC_04",14.6,"ng/uL"
"9/4/2025 15:16","0324FENC_05",13.6,"ng/uL"
"9/4/2025 15:16","0324FENC_06",19.6,"ng/uL"
"9/4/2025 15:17","0324FENC_07",9.48,"ng/uL"
"9/4/2025 15:17","0324FENC_08",18.7,"ng/uL"
"9/4/2025 15:25","0324FENC_09",15.2,"ng/uL"
"9/4/2025 15:25","0324FENC_10",8.6,"ng/uL"
"9/4/2025 15:25","0324FENC_11",24.4,"ng/uL"
"9/4/2025 15:25","0324FENC_12",10.1,"ng/uL"
"9/4/2025 15:25","0324FENC_13",30.6,"ng/uL"
"9/4/2025 15:25","0324FENC_14",17.6,"ng/uL"
"9/4/2025 15:25","0324FENC_15",14.1,"ng/uL"
"9/4/2025 15:25","0324FENC_16",13.2,"ng/uL"
"9/4/2025 15:26","0324FENC_17",18.2,"ng/uL"
"9/4/2025 15:26","0324FENC_18",17.1,"ng/uL"
"9/4/2025 15:26","0324FENC_19",21.1,"ng/uL"
"9/4/2025 15:26","0324FENC_20",6.52,"ng/uL"
"9/4/2025 15:26","0324FENC_21",14.1,"ng/uL"
"9/4/2025 15:26","0324FENC_22",6.68,"ng/uL"
"9/4/2025 15:26","0324FENC_23",11.2,"ng/uL"
"9/4/2025 15:26","0324FENC_24",5.2,"ng/uL"
"9/4/2025 15:28","0324FENC_25",17.8,"ng/uL"
"9/4/2025 15:28","0324FENC_26",9.76,"ng/uL"
"9/4/2025 15:28","0324FENC_27",56,"ng/uL"
"9/4/2025 15:28","0324FENC_28",14.9,"ng/uL"
"9/4/2025 15:28","0324FENC_29",29.1,"ng/uL"
"9/4/2025 15:28","0324FENC_30",4.84,"ng/uL"
"9/4/2025 15:10","0324FENC_01",23.2,"ng/uL"
"9/4/2025 15:10","0324FENC_02",33.5,"ng/uL"
"9/4/2025 15:10","0324FENC_03",16.7,"ng/uL"
"9/4/2025 15:10","0324FENC_04",13.3,"ng/uL"
"9/4/2025 15:10","0324FENC_05",11.9,"ng/uL"
"9/4/2025 15:10","0324FENC_06",18.2,"ng/uL"
"9/4/2025 15:10","0324FENC_07",11,"ng/uL"
"9/4/2025 15:10","0324FENC_08",19,"ng/uL"
"9/4/2025 15:11","0324FENC_09",17.4,"ng/uL"
"9/4/2025 15:11","0324FENC_10",10.9,"ng/uL"
"9/4/2025 15:11","0324FENC_11",29.8,"ng/uL"
"9/4/2025 15:11","0324FENC_12",12.2,"ng/uL"
"9/4/2025 15:11","0324FENC_13",34.8,"ng/uL"
"9/4/2025 15:11","0324FENC_14",19.4,"ng/uL"
"9/4/2025 15:11","0324FENC_15",17,"ng/uL"
"9/4/2025 15:11","0324FENC_16",14.1,"ng/uL"
"9/4/2025 15:13","0324FENC_17",20.5,"ng/uL"
"9/4/2025 15:13","0324FENC_18",18.4,"ng/uL"
"9/4/2025 15:13","0324FENC_19",22,"ng/uL"
"9/4/2025 15:13","0324FENC_20",6.96,"ng/uL"
"9/4/2025 15:13","0324FENC_21",16.1,"ng/uL"
"9/4/2025 15:13","0324FENC_22",7.68,"ng/uL"
"9/4/2025 15:13","0324FENC_23",11.8,"ng/uL"
"9/4/2025 15:13","0324FENC_24",5.84,"ng/uL"
"9/4/2025 15:13","0324FENC_25",20.9,"ng/uL"
"9/4/2025 15:13","0324FENC_26",9.64,"ng/uL"
"9/4/2025 15:13","0324FENC_27",56,"ng/uL"
"9/4/2025 15:13","0324FENC_28",15.6,"ng/uL"
"9/4/2025 15:13","0324FENC_29",31.2,"ng/uL"
"9/4/2025 15:13","0324FENC_30",5.4,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_01",34.6,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_02",52,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_03",43.2,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_04",41.6,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_05",41.6,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_06",61.2,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_07",29.2,"ng/uL"
"25/08/2025 05:06:46 PM","0325ASHC_08",44,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_09",35.3,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_10",35,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_11",38.8,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_12",38.4,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_13",20.4,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_14",25.9,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_15",47.6,"ng/uL"
"25/08/2025 05:08:02 PM","0325ASHC_16",37.1,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_17",22,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_18",41.2,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_19",45.2,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_20",14.8,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_21",42,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_22",50.8,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_23",43.2,"ng/uL"
"25/08/2025 05:09:17 PM","0325ASHC_24",39.4,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_25",54.8,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_26",33,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_27",65.6,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_28",50.8,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_29",33.8,"ng/uL"
"25/08/2025 05:10:11 PM","0325ASHC_30",44.4,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_01",33.2,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_02",52,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_03",44,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_04",42.4,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_05",39.5,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_06",60.4,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_07",29,"ng/uL"
"25/08/2025 05:00:41 PM","0325ASHC_08",46,"ng/uL"
