"Sample_ID","Date_collected","Site","Lab_sample","Date_read1","reader1","Sex1","Stage1","Duplicate_read","Date_read2","reader2","Sex2","Stage2","Notes","Sex_final","Stage_final","Date_read3","reader3","Sex3","Stage3"
"0324ASHC_21",2024-03-14,"ASHC",21,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_22",2024-03-14,"ASHC",22,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing","bad cut/ missing parts of mantle - SD","ND","2_Developing",NA,NA,NA,NA
"0324ASHC_23",2024-03-14,"ASHC",23,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_24",2024-03-14,"ASHC",24,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_25",2024-03-14,"ASHC",25,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_26",2024-03-14,"ASHC",26,"05-10-2025","Sarina Dery","Female","3_Early_Active",TRUE,"06-04-2025","Kyra Lenderman","Female","3_Early_Active","partial development -SD","Female","3_Early_Active",NA,NA,NA,NA
"0324ASHC_27",2024-03-14,"ASHC",27,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_28",2024-03-14,"ASHC",28,"05-10-2025","Sarina Dery","Male","3_Early_Active",TRUE,"06-04-2025","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0324ASHC_29",2024-03-14,"ASHC",29,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_30",2024-03-14,"ASHC",30,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_01",2024-03-06,"FENC",1,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_02",2024-03-06,"FENC",2,"06-04-2025","Sarina Dery","Female","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","Female","2_Developing",NA,"Female","2_Developing",NA,NA,NA,NA
"0324FENC_03",2024-03-06,"FENC",3,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_04",2024-03-06,"FENC",4,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_05",2024-03-06,"FENC",5,"06-04-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324FENC_06",2024-03-06,"FENC",6,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_07",2024-03-06,"FENC",7,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_08",2024-03-06,"FENC",8,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_09",2024-03-06,"FENC",9,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_10",2024-03-06,"FENC",10,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_11",2024-03-06,"FENC",11,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_12",2024-03-06,"FENC",12,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_13",2024-03-06,"FENC",13,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_14",2024-03-06,"FENC",14,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_15",2024-03-06,"FENC",15,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_16",2024-03-06,"FENC",16,"06-04-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324FENC_17",2024-03-06,"FENC",17,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_18",2024-03-06,"FENC",18,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_19",2024-03-06,"FENC",19,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_20",2024-03-06,"FENC",20,"06-04-2025","Sarina Dery","Male","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0324FENC_21",2024-03-06,"FENC",21,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_22",2024-03-06,"FENC",22,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_23",2024-03-06,"FENC",23,"06-04-2025","Sarina Dery","Male","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0324FENC_24",2024-03-06,"FENC",24,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_25",2024-03-06,"FENC",25,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_26",2024-03-06,"FENC",26,"06-04-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324FENC_27",2024-03-06,"FENC",27,"06-04-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324FENC_28",2024-03-06,"FENC",28,"06-04-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324FENC_29",2024-03-06,"FENC",29,"06-04-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324FENC_30",2024-03-06,"FENC",30,"06-04-2025","Sarina Dery","ND","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active","hermaphrodite? SD","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_01",2023-04-23,"ASHC",1,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-05-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_02",2023-04-23,"ASHC",2,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-05-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_03",2023-04-23,"ASHC",3,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-05-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_04",2023-04-23,"ASHC",4,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-05-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_05",2023-04-23,"ASHC",5,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-05-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_06",2023-04-23,"ASHC",6,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_07",2023-04-23,"ASHC",7,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Male","3_Early_Active","very late development","Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_08",2023-04-23,"ASHC",8,"12-03-2024","Kyra Lenderman","Male","3_Early_Active",FALSE,NA,NA,NA,NA,"could be 2","Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_09",2023-04-23,"ASHC",9,"12-03-2024","Kelly Roper","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_10",2023-04-23,"ASHC",10,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_11",2023-04-23,"ASHC",11,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_12",2023-04-23,"ASHC",12,"12-03-2024","Mariah Kachmar","Male","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_13",2023-04-23,"ASHC",13,"12-03-2024","Mariah Kachmar","ND","2_Developing",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"ND","2_Developing",NA,NA,NA,NA
"0423ASHC_14",2023-04-23,"ASHC",14,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_15",2023-04-23,"ASHC",15,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_16",2023-04-23,"ASHC",16,"12-03-2024","Mariah Kachmar","Male","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_17",2023-04-23,"ASHC",17,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_18",2023-04-23,"ASHC",18,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_19",2023-04-23,"ASHC",19,"12-03-2024","Mariah Kachmar","ND","2_Developing",TRUE,"12-03-2024","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0423ASHC_20",2023-04-23,"ASHC",20,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active","Bad cut","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_21",2023-04-23,"ASHC",21,"12-03-2024","Mariah Kachmar","Female","3_Early_Active",TRUE,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_22",2023-04-23,"ASHC",22,"12-03-2024","Kyra Lenderman","Male","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_23",2023-04-23,"ASHC",23,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_24",2023-04-23,"ASHC",24,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_25",2023-04-23,"ASHC",25,"12-03-2024","Kyra Lenderman","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423ASHC_26",2023-04-23,"ASHC",26,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_27",2023-04-23,"ASHC",27,"12-03-2024","Kyra Lenderman","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423ASHC_28",2023-04-23,"ASHC",28,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_29",2023-04-23,"ASHC",29,"12-03-2024","Kyra Lenderman","ND","2_Developing",FALSE,NA,NA,NA,NA,"Bucephalus present","ND","2_Developing",NA,NA,NA,NA
"0423ASHC_30",2023-04-23,"ASHC",30,"12-03-2024","Kyra Lenderman","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_01",2023-04-27,"FENC",1,"11-26-2024","Lydia Bienlien","ND","2_Developing",TRUE,"11-26-2024","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_02",2023-04-27,"FENC",2,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",TRUE,"11-26-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_03",2023-04-27,"FENC",3,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",TRUE,"11-26-2024","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_04",2023-04-27,"FENC",4,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_05",2023-04-27,"FENC",5,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_06",2023-04-27,"FENC",6,"11-26-2024","Lydia Bienlien","Male","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Male","3_Early_Active",NA,NA,NA,NA
"0423FENC_07",2023-04-27,"FENC",7,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_08",2023-04-27,"FENC",8,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_09",2023-04-27,"FENC",9,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_10",2023-04-27,"FENC",10,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_11",2023-04-27,"FENC",11,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_12",2023-04-27,"FENC",12,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_13",2023-04-27,"FENC",13,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_14",2023-04-27,"FENC",14,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_15",2023-04-27,"FENC",15,"11-26-2024","Lydia Bienlien","Male","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Male","3_Early_Active",NA,NA,NA,NA
"0423FENC_16",2023-04-27,"FENC",16,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_17",2023-04-27,"FENC",17,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_18",2023-04-27,"FENC",18,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_19",2023-04-27,"FENC",19,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_20",2023-04-27,"FENC",20,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_21",2023-04-27,"FENC",21,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_22",2023-04-27,"FENC",22,"11-26-2024","Lydia Bienlien","ND","2_Developing",FALSE,NA,NA,NA,NA,NA,"ND","2_Developing",NA,NA,NA,NA
"0423FENC_23",2023-04-27,"FENC",23,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_24",2023-04-27,"FENC",24,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_25",2023-04-27,"FENC",25,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_26",2023-04-27,"FENC",26,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_27",2023-04-27,"FENC",27,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_28",2023-04-27,"FENC",28,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_29",2023-04-27,"FENC",29,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_30",2023-04-27,"FENC",30,"11-26-2024","Lydia Bienlien","Female","3_Early_Active",FALSE,NA,NA,NA,NA,NA,"Female","3_Early_Active",NA,NA,NA,NA
"0424ASHC_01",2024-04-03,"ASHC",1,"07-15-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0424ASHC_02",2024-04-03,"ASHC",2,"07-15-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0424ASHC_03",2024-04-03,"ASHC",3,"07-15-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0424ASHC_04",2024-04-03,"ASHC",4,"07-15-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0424ASHC_05",2024-04-03,"ASHC",5,"07-15-2025","Sarina Dery","Male","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0424ASHC_06",2024-04-03,"ASHC",6,"07-15-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0424ASHC_07",2024-04-03,"ASHC",7,"07-15-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0424ASHC_08",2024-04-03,"ASHC",8,"07-15-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0424ASHC_09",2024-04-03,"ASHC",9,"07-15-2025","Sarina Dery","ND","2_Developing",TRUE,"09-19-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0424ASHC_10",2024-04-03,"ASHC",10,"07-15-2025","Sarina Dery","Female","3_Early_Active",TRUE,"09-19-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
