Date collected,Location,Time of collection,Date run,Time of run, ,Salinity,t(oC) spec,P (dbars),Total P (mmol/kgSW),Total Si (mmol/kgSW),t(oC) of field,P (dbars),TA (mmol/kgSW),TCO2 (mmol/kgSW),pH Chosen scale (4 decimals),Sonde pH,Sonde Date_Time,Sonde pH,Sonde salinity,"Sonde Temp, deg C",comments,Cosys results from,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
9/26/2023,Gold Star,10:00,9/29/2023,11:00,,26,22.79,1,0,0,21,1,1814.848,,7.5956,7.803864,9/26/2023 9:34,,,,,TA + pH only,7.62,1002.3,1005.6,1682.2,53.1,33.2,25,1.5,0,0,17.34,1.35,0.86,1030.5
9/27/2023,Laurel Hollow,10:00,9/29/2023,11:00,,26.5,22.7,1,0,0,20.38,1,1802.86,,7.5428,,,,,,,TA + pH only,7.573,1107.7,1111.5,1684.1,47.3,37.2,22.9,1.3,0,0,17.696,1.2,0.76,1137.9
10/3/2023,Ash Creek,,10/4/2023,11:30,,17,22.93,1,0,0,18.04,1,1488.963,1501.816,7.1548,7.69,,,,,,DIC + pH only,7.206,2328,2336.1,1402.2,11.6,88,5.1,0.3,0,0,14.366,0.31,0.19,2384.3
10/5/2023,Fence Creek,,10/12/2023,2:00,,23.5,23.28,1,0,0,19.5,1,1544.287,1377.854,7.4549,7.5,,,,,"I was going on leave, so I preserved this sample with the mecuric chloride ",TA + pH only,7.502,1157.4,1161.3,1465.1,31,40.5,16.2,0.9,0,0,18.287,0.8,0.5,1187.5
10/16/2023,Gold Star,,10/18/2023,1:00,,25.8,22.73,1,0,0,16.25,1,1801.513,1743.144,7.7174,7.955751,10/16/2023 9:54,,,,,DIC + pH only,7.81,616.9,619.1,1652.6,67.1,23.4,32.8,1.5,0,0,16.214,1.7,1.06,630.4
10/17/2023,Laurel Hollow,,10/18/2023,1:00,,25.8,22.7,1,0,0,17,1,1767.285,1681.608,7.8291,7.810738,10/17/2023 11:10,,,,,DIC + pH only,7.913,467.9,469.5,1580.5,83.7,17.4,41.1,2,0,0,14.32,2.12,1.33,478.5
11/6/2023,Ash Creek,,11/9/2023,11:00,,18.9,22.7,1,0,0,14.03,1,1743.504,1687.29,7.6368,7.5,,,,,,DIC + pH only,7.755,718.5,721.2,1613.8,43.1,30.4,17.9,0.9,0,0,19.84,1.13,0.68,732.6
11/8/2023,Fence Creek,,11/9/2023,11:00,,17.7,22.71,1,0,0,7.7,1,1604.715,1616.835,7.1723,7.7,,,,,,DIC + pH only,7.341,1690.8,1697.6,1516.4,11.7,88.7,5.6,0.2,0,0,15.315,0.31,0.18,1715.2
3/6/2024,Fence Creek,1:00 PM,3/7/2024,3:00 PM,,6.5,23.04,1,0,0,8,1,842.274,913.908,6.8806,,,,,,Salinity was really low and pH measurements on spec below 7.1 are not that reliable but we know because of freshwater pH will be low,,7.036,2119.2,2127.6,794.5,2.1,117.4,0.7,0.1,0,0,7.589,0.06,0.03,2150.3
3/14/2024,Ash Creek,9:00,3/15/2024,1:00 PM,,10,22.86,1,0,0,5,1,1305.616,1302.776,7.4377,,,,,,,,7.657,731.2,734.2,1244.9,13.7,44.2,4.8,0.2,0,0,21.015,0.37,0.21,740.6
4/2/2024,Fence Creek,11:15,4/3/2024,1:30 PM,,5,23.02,1,0,0,5.5,1,876.925,944.804,6.8198,,,,,,,,7.004,2318.2,2327.7,801.5,1.7,141.6,0.5,0,0,0,6.562,0.05,0.02,2348.5
4/22/2024,Gold Star,11:30,4/24/2024,12:00 PM,,22,23.23,1,0,0,9.2,1,1879.868,1717.842,7.6972,,,,,,,,7.899,489.4,491.4,1638.6,55.5,23.8,26.4,0.8,0,0,18.227,1.42,0.86,497
5/1/2024,Ash Creek,11:00,5/3/2024,11:00,,14,23.08,1,0,0,15.5,1,1526.592,1470.755,7.7015,,,,,,,,7.805,600.7,602.9,1407.8,38,24.9,13.7,1,0,0,20.555,1.04,0.61,613.5
5/13/2024,Fence Creek,9:00 AM,5/14/2024,4:00,,10,22.95,1,0,0,12.9,1,1253.713,1302.309,6.9128,,,,,,,,7.013,3172.2,3184.1,1152.3,3.9,146.1,1.4,0.1,0,0,8.588,0.11,0.06,3231.2
5/23/2024,Gold Star,11:10,5/24/2024,1:00 PM,,22,24.31,1,0,0,15,1,1788.97,1718.356,7.6712,,,,,,,,7.801,638.3,640.6,1637,55.6,25.7,25,1.2,0,0,17.973,1.44,0.88,651.4
6/10/2024,Ash Creek,9:00 AM,6/11/2024,1:00 PM,,21,22.89,1,0,0,15.05,1,1792.022,1739.98,7.5914,,,,,,,,7.697,834,837,1663.1,43.2,33.7,18.8,0.9,0,0,19.46,1.12,0.68,851.2
6/24/2024,Gold Star,10:30 AM,6/27/2024,1:00 PM,,23,22.88,1,0,0,21.8,1,1806.082,1732.695,7.6589,,,,,,,,7.674,894,896.9,1647.6,55.7,29.4,24,1.7,0,0,17.459,1.45,0.91,920.4
6/1/2024,Fence Creek,10:20,7/2/2024,10:30,,10,22.7,1,0,0,17.9,1,1404.857,1432.557,6.9252,,,,,,,,6.971,3998.8,4012.7,1270,4.8,157.7,1.5,0.2,0,0,8.723,0.14,0.08,4095.1
7/10/2024,Ash Creek,9:00 AM,7/15/2024,2:00 PM,,25,22.4,1,0,0,22.1,1,1199.968,1501.271,7.4442,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.448,1283.4,1287.7,1429.1,30.8,41.4,16.8,1.1,0,0,17.591,0.79,0.5,1321.9
8/14/2024,Gold Star,11:00,8/16/2024,11:00,,25,23.04,1,0,0,24.28,1,1852.604,1761.55,7.7497,,,,,,,,7.732,786.5,789.1,1662.8,74.7,24,32.4,2.5,0,0,15.466,1.94,1.24,813.1
8/26/2024,Ash Creek,11:30,8/28/2024,2:00 PM,,17,23.1,1,0,0,24.75,1,1641.1,1574.556,7.5095,,,,,,,,7.49,1355.5,1359.9,1501.3,30.8,42.5,11.4,1.2,0,0,19.188,0.85,0.52,1402.7
8/27/2024,Fence Creek,11:30,8/28/2024,2:00 PM,,14,23.09,1,0,0,23.3,1,1671.07,1716.995,6.8453,,,,,,,,6.843,6210.5,6230.8,1505.3,6,205.8,2,0.2,0,0,8.022,0.17,0.1,6410.3
9/16/2024,Gold Star,11:00,10/2/2024,2:00 PM,,23,22.91,1,0,0,22.56,1,1161.583,971.64,7.7168,,,,,,,,7.722,449.7,451.2,921.4,35.8,14.5,27.1,2,0,0,14.273,0.94,0.59,463.6
9/25/2024,Fence Creek,10:45,10/2/2024,3:00 PM,,26,23,1,0,0,18.16,1,1059.264,1339.104,7.2605,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.316,1492.4,1497.6,1267.7,17.9,53.5,12,0.6,0,0,16.347,0.45,0.29,1528.6
9/23/2024,Ash Creek,see notes,,,,,,,,,,,,,,,,,,,"We were not able to service the sonde and hobo or acquire a water sample due to the tide level being too high to get to our housing. Notes taken from the field notebook, so no sample analyzed",,,,,,,,,,,,,,,
10/15/2024,Gold Star,11:00,10/18/2024,1:00 PM,,25.75,21.82,1,0,0,16.84,1,1884.663,1740.186,7.7123,,,,,,,,7.783,658.5,660.9,1651.2,64.4,24.6,31.4,1.5,0,0,16.447,1.63,1.02,673.4
10/21/2024,Ash Creek,8:00,10/24/2024,1:00 PM,,26,23.31,1,0,0,14.39,1,1890.083,1790.328,7.7282,,,,,,,,7.857,560.2,562.2,1696.1,71.8,22.5,34.8,1.4,0,0,16.069,1.81,1.13,571.3
10/23/2024,Fence Creek,10:15,10/24/2024,1:00 PM,,20,22.87,1,0,0,14.98,1,1852.622,1854.336,7.1624,,,,,,,,7.247,2477.1,2486.1,1737.9,15.5,101,6.5,0.3,0,0,15.139,0.4,0.25,2528.1
11/13/2024,Ash Creek,2:30 PM,11/15/2024,1:00 PM,,26,22.77,1,0,0,12.37,1,1826.72,1806.876,7.8264,,,,,,,,7.981,415.9,417.5,1700.5,88.6,17.8,42.6,1.5,0,0,14.727,2.22,1.38,423.4
11/12/2024,Fence Creek,12:45,11/15/2024,1:00 PM,,22,22.72,1,0,0,12.6,1,2305.527,1847.314,7.3465,,,,,,,,7.468,1452.7,1458.1,1758.9,25.3,63.1,11.4,0.4,0,0,18.888,0.65,0.4,1479.1
11/18/2024,Gold Star,11:30,11/20/2024,3:00 PM,,26,22.74,1,0,0,11.6,1,1914.049,1793.483,7.7563,,,,,,,,7.919,476.1,477.9,1698.2,74.5,20.9,36.9,1.2,0,0,15.898,1.87,1.16,484.3
12/9/2024,Ash Creek,10:45,12/11/2024,1:00 PM,,26,22.85,1,0,0,5.75,1,1929.246,1885.573,7.6535,,,,,,,,7.901,503.4,505.4,1798.7,59.9,26.9,30.4,0.6,0,0,18.046,1.49,0.92,510
12/10/2024,Fence Creek,12:10,12/11/2024,1:00 PM,,17.5,22.91,1,0,0,6.73,1,1554.848,1603.926,7.2496,,,,,,,,7.438,1346.7,1352.2,1516.8,14,73.1,6.6,0.2,0,0,17.227,0.36,0.21,1365.3
1/6/2025,Ash Creek,9:45,16-Jan,12:00 PM,,22,22.76,1,0,0,2.23,1,1753.227,1687.926,7.5107,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.792,584.9,587.4,1619.1,32.4,36.5,17.3,0.3,0,0,20.653,0.82,0.49,591.5
1/8/2025,Fence Creek,11:15,1/16/2025,12:00 PM,,15,22.76,1,0,0,-0.04,1,1449.554,1469.301,7.0895,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.354,1429.2,1435.5,1360.6,7.2,101.5,3.6,0.1,0,0,13.092,0.19,0.11,1444.1
2/5/2025,Ash Creek,10:20,2/7/2025,10:00,,22,25.69,1,0,0,1.14,1,1813.462,1651.397,7.791,,,,,,,,8.163,238.5,239.5,1565.5,70.4,15.5,36.4,0.7,0,0,16.155,1.78,1.07,241.1
2/4/2025,Fence Creek,10:20,2/7/2025,10:00,,19,25.73,1,0,0,1.08,1,1638.055,1639.138,7.261,,,,,,,,7.561,978.1,982.4,1558.3,15.9,64.9,8.2,0.2,0,0,18.618,0.41,0.24,988.8
3/4/2025,Ash Creek,8:15,3/14/2025,10:00,,23,22.03,1,0,0,1.19,1,1777.381,1749.72,7.5501,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.843,530.1,532.4,1678.3,37.2,34.2,19.9,0.3,0,0,20.433,0.94,0.57,535.9
3/6/2025,Fence Creek,10:20,3/14/2025,10:00,,9,22.22,1,0,0,4.8,1,863.759,949.543,6.8961,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.084,1858.1,1865.8,833.5,2.3,113.7,1.1,0.1,0,0,8.086,0.06,0.04,1881.7
4/1/2025,Ash Creek,8:30,4/9/2025,15:00,,8.8,22.87,1,0,0,8.94,1,1015.933,1065.168,7.0935,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.241,1573.8,1580,977.3,4.6,83.2,1.8,0.1,0,0,11.865,0.13,0.07,1597.9
4/3/2025,Fence Creek,9:50,4/9/2025,15:00,,15.3,23.01,1,0,0,7.65,1,675.772,747.149,6.9245,,,,,,"I had to freeze the sample, I knew I couldn't run it until this week",,7.088,1381.4,1386.9,670.9,2.7,73.6,2.6,0.1,0,0,9.461,0.07,0.04,1401.3
4/28/2025,Gold Star,11:00 AM,5/2/2025,11:00,,26.1,22.86,1,0,0,12.13,1,1972.589,1855.397,7.578,,,,,,,,7.726,778.1,781,1771,50.9,33.5,25.1,0.8,0,0,18.454,1.28,0.79,791.9
5/1/2025,Ash Creek,9:20,5/2/2025,11:00,,17.3,22.99,1,0,0,12.6,1,1685.665,1624.173,7.6798,,,,,,,,7.824,595.1,597.3,1553.9,43.8,26.5,17.7,0.9,0,0,19.997,1.15,0.69,606
5/7/2025,Fence Creek,1:45 PM,5/7/2025,15:00,,7,22.86,1,0,0,16.23,1,1201.604,1243.284,6.9011,,,,,,,,6.965,3614,3626.9,1087.5,3.4,152.4,0.9,0.1,0,0,7.922,0.1,0.05,3693.9
5/27/2025,Gold Star,,5/30/2025,15:00,,26,22.71,1,0,0,15.68,1,1928.835,1820.977,7.6571,,,,,,,,7.756,728.5,731.1,1731.8,61,28.1,29.2,1.2,0,0,17.215,1.54,0.96,744
6/16/2025,Ash Creek,9:30 AM,6/18/2025,14:00,,22,23.01,1,0,0,18.56,1,1805.299,1692.233,7.7432,,,,,,,,7.806,634.6,636.8,1606,63.3,23,27.6,1.7,0,0,16.861,1.65,1.02,650.4
6/17/2025,Fence Creek,9:30 AM,6/18/2025,14:00,,11,22.89,1,0,0,17.85,1,1431.283,1529.748,6.816,,,,,,,,6.864,5235,5253.3,1320.1,4,205.7,1.3,0.1,0,0,7.24,0.11,0.07,5360.7
6/24/2025,Gold Star,11:45 AM,7/2/2025,14:30,,25,22.55,1,0,0,22.79,1,1841.864,1779.32,7.3575,,,,,,,,7.355,1888.5,1894.7,1689.4,30.1,59.8,13.9,0.9,0,0,17.57,0.78,0.49,1947.3
7/14/2025,Ash Creek,8:00,7/17/2025,12:00,,21,23.27,1,0,0,25.5,1,1904.102,1892.8926,7.3639,,,,,,,,7.339,2200.3,2207.3,1796.2,30.3,66.3,11.2,1,0,0,17.888,0.82,0.51,2279.9
7/16/2025,Fence Creek,9:00,7/17/2025,12:00,,19,23.84,1,0,0,24.81,1,1962.071,2039.778,7.0349,,,,,,,,7.026,4812.4,4827.8,1876.4,14.1,149.2,4.8,0.4,0,0,12.138,0.39,0.24,4980.1
7/29/2025,Gold Star,11:00,7/31/2025,12:00,,25,23.09,1,0,0,22.85,1,1873.19,1756.843,7.5734,,,,,,,,7.577,1121.6,1125.3,1671.6,49.8,35.5,22.6,1.6,0,0,17.572,1.29,0.82,1156.6
8/12/2025,Ash Creek,7:45,8/20/2025,11:00,,28.9,22.82,1,0,0,23.32,1,1149.037,n/a,7.3537,,,,,,,cosys from TA and pH,7.348,1204.9,1208.9,1087.6,21.7,36.9,17.1,1,0,0,15.719,0.54,0.35,1243.4
8/14/2025,Fence Creek,9:00,8/20/2025,11:00,,23.3,22.63,1,0,0,24.3,1,1967.219,n/a,7.0114,,,,,,,cosys from TA and pH,6.995,5059.5,5075.9,1930.7,15.2,155.5,5.9,0.4,0,0,11.917,0.4,0.25,5230.6
8/18/2025,Gold Star,11:00,8/20/2025,11:00,,26.4,22.71,1,0,0,24.9,1,1898.439,n/a,7.5972,,,,,,,cosys from TA and pH,7.568,1203.2,1207,1756.2,57.6,35.8,25.2,1.9,0,0,16.995,1.48,0.95,1245.1
9/11/2025,Ash Creek,8:00,9/18/2025,12:00,,25.7,22.85,1,0,0,22.1,1,1953.052,1923.971,7.4371,,,,,,"Field temperature from website, sondes were not working",,7.446,1641.2,1646.6,1831.1,40.1,52.8,17.4,1.1,0,0,18.192,1.03,0.65,1690.4
9/15/2025,Fence Creek,12:00,9/18/2025,12:00,,22.4,22.87,1,0,0,21.8,1,1926.371,1953.978,7.1035,,,,,,,,7.114,3597.2,3609.2,1818.6,16.7,118.7,6.8,0.5,0,0,13.784,0.44,0.27,3703.4
9/23/2025,Gold Star,10:00,9/25/2025,11:00,,25.9,22.3,1,0,0,21.35,1,1864.028,1818.956,7.6542,,,,,,,,7.667,925,928.1,1727.2,61.5,30.3,27.7,1.7,0,0,16.892,1.57,1,951.6
10/14/2025,Fence Creek,11:00,10/15/2025,11:00,,20.5,19.5,1,0,0,15.14,1,1752.737,1748.863,6.847,,,,,,,,6.891,4966.4,4984.3,1541.8,6.2,200.9,3,0.1,0,0,8.315,0.16,0.1,5069.4
10/16/2025,Ash Creek,14:00,10/22/2025,10:30,,25.7,23.09,1,0,0,16.63,1,1862.13,1791.502,7.7275,,,,,,,,7.82,620.9,623.1,1696.8,71.3,23.3,33.6,1.6,0,0,16.103,1.81,1.13,634.8
10/27/2025,Gold Star,10:30,10/29/2025,10:45,,26.3,22.29,1,0,0,13.92,1,1900.622,1757.304,7.8019,,,,,,,,7.925,465.2,466.9,1657.1,81.3,18.9,40.2,1.6,0,0,14.974,2.04,1.27,474.2
11/10/2025,Ash Creek,8:30,11/12/2025,10:30,,22.8,22.93,1,0,0,13.22,1,1792.517,1764.187,7.456,,,,,,,,7.58,1073.2,1077.2,1685.8,32.9,45.5,15.6,0.6,0,0,19.553,0.84,0.52,1093.4
11/12/2025,Fence Creek,9:15,11/12/2025,11:45,,15.2,23.19,1,0,0,7.72,1,1668.713,1728.3183,7.06,,,,,,,,7.227,2384.1,2393.6,1592.8,8.7,126.8,3.5,0.1,0,0,12.442,0.23,0.13,2418.5
12/9/2025,Ash Creek,8:30,12/12/2025,12:00,,25.1,22.68,1,0,0,2.74,1,1878.6,1837.568,7.623,,,,,,,,7.911,472.3,474.3,1757.5,51.7,28.4,27.2,0.5,0,0,18.931,1.29,0.79,477.7
12/11/2025,Fence Creek,9:45,12/12/2025,12:00,,17.3,22.81,1,0,0,3.13,1,1605.115,1604.781,7.4329,,,,,,,,7.686,749.6,752.8,1536.7,21.6,46.5,10.2,0.2,0,0,21.022,0.56,0.33,758.5
12/10/2025,Gold Star,12:00,12/12/2025,12:00,,27.7,22.72,1,0,0,4.12,1,2437.208,1856.9,7.768,,,,,,TA is really high I am scepticle about this. I trust the DIC and pH for sure,,8.048,342.1,343.6,1757.2,80.5,19.2,42.9,0.8,0,0,15.558,1.99,1.23,346.3
