"data_all.Sample_ID","data_all.Date_collected","data_all.Site","data_all.Sex1","data_all.Stage1","data_all.Sex2","data_all.Stage2","data_all.sex_results","data_all.score_results"
"0424FENC_14",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_15",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_16",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_17",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_18",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_19",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_20",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_21",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_22",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_23",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_24",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_25",2024-04-02,"FENC","Female","3_Early_Active","ND","2_Developing","FALSE","FALSE"
"0424FENC_26",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_27",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_28",2024-04-02,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424FENC_29",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_30",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_01",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_02",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_03",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_04",2024-04-22,"GOLD","Female","3_Early_Active","Hermaphrodite","3_Early_Active","FALSE","TRUE"
"0424GOLD_05",2024-04-22,"GOLD","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424GOLD_06",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_07",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_08",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_09",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_10",2024-04-22,"GOLD","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424GOLD_11",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_12",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_13",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_14",2024-04-22,"GOLD","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424GOLD_15",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_16",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_17",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_18",2024-04-22,"GOLD","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424GOLD_19",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_20",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_21",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_22",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_23",2024-04-22,"GOLD","ND","1_Inactive_Indeterminate","ND","1_Inactive_Indeterminate","TRUE","TRUE"
"0424GOLD_24",2024-04-22,"GOLD","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424GOLD_25",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_26",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_27",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_28",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424GOLD_29",2024-04-22,"GOLD","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424GOLD_30",2024-04-22,"GOLD","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0523ASHC_01",2023-05-10,"ASHC","Male","4_Late_Mature",NA,NA,NA,NA
"0523ASHC_02",2023-05-10,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0523ASHC_03",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_04",2023-05-10,"ASHC","Male","4_Late_Mature",NA,NA,NA,NA
"0523ASHC_05",2023-05-10,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0523ASHC_06",2023-05-10,"ASHC","Male","3_Early_Active",NA,NA,NA,NA
"0523ASHC_07",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_08",2023-05-10,"ASHC","ND","1_Inactive_Indeterminate",NA,NA,NA,NA
"0523ASHC_09",2023-05-10,"ASHC","Female","4_Late_Mature","Female","4_Late_Mature","TRUE","TRUE"
