Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Column 14,Sex_final,Stage_final
0925FENC_19,09-15-2025,FENC,19,05-01-2026,Sarina Dery,Female,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,Female,6_Post_Spawning,,Female,7_Reabsorbing
0925FENC_20,09-15-2025,FENC,20,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,female?-SD,ND,7_Reabsorbing
0925FENC_21,09-15-2025,FENC,21,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,female?-SD,ND,7_Reabsorbing
0925FENC_22,09-15-2025,FENC,22,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_23,09-15-2025,FENC,23,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_24,09-15-2025,FENC,24,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_25,09-15-2025,FENC,25,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_26,09-15-2025,FENC,26,05-01-2026,Sarina Dery,Male,6_Post_Spawning,TRUE,07-30-2026,Kyra Lenderman,Male,6_Post_Spawning,,Male,6_Post_Spawning
0925FENC_27,09-15-2025,FENC,27,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_28,09-15-2025,FENC,28,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
0925FENC_29,09-15-2025,FENC,29,05-01-2026,Sarina Dery,Female,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
0925FENC_30,09-15-2025,FENC,30,05-01-2026,Sarina Dery,ND,7_Reabsorbing,TRUE,07-30-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
